lap: 1, time:1.1704809665679932
lap: 2, time:1.4055273532867432
lap: 3, time:1.5947105884552002
lap: 4, time:1.793321132659912
lap: 5, time:1.9966511726379395
lap: 6, time:17.781851291656494
lap: 7, time:17.95259428024292
lap: 8, time:18.106459379196167
lap: 9, time:18.216952323913574
lap: 10, time:21.470696449279785
lap: 11, time:21.66928195953369
lap: 12, time:21.871851444244385
lap: 13, time:22.040592193603516
lap: 14, time:22.16513466835022
lap: 15, time:22.306870698928833
lap: 16, time:22.462915182113647
